gmlid,blknr,gml_bldg_id
UUID_54c2254e-5c53-4891-acd1-45cc796b78eb,20036.0,BLDG_0003000e00750026
UUID_9f10dd28-ebab-432e-854d-40fea1425659,20039.0,BLDG_0003000000bca3c5
UUID_af71ad86-c132-46eb-a2a7-01f78ec1f25f,20039.0,BLDG_0003000a00116893
UUID_3bc468a2-fc47-4b44-846e-2713bbc9e4a8,20039.0,BLDG_0003000a00116895
UUID_576015cb-6e0d-477a-a15f-ef3e362e8fe5,20039.0,BLDG_0003000b0004024d
UUID_1fb7efe1-feda-4767-9786-7dc990ba48bd,20039.0,BLDG_0003000b00040249
UUID_04cd3aae-e8a3-4fbd-b773-083a8393f9b8,20039.0,BLDG_0003000b0004024b
UUID_bb84cde5-9abe-4a2c-8b79-d76babf649f1,20039.0,BLDG_0003000b00040251
UUID_cd6314af-c524-44c4-8e4b-15be653b47a5,20039.0,BLDG_0003000e00234d7b
UUID_197b598d-0abe-43bf-85c4-28083efdb896,20039.0,BLDG_0003000e00234d86
UUID_2283436b-b74f-4ad8-8876-dc117adf2596,20039.0,BLDG_0003000e00234d84
UUID_1dff83bf-6c9b-4d68-96fa-99dbec079ae1,20039.0,BLDG_0003000e00234d89
UUID_fd709b17-4e44-4fe8-b9b8-c04b8e559a79,20039.0,BLDG_0003000e00234d91
UUID_02124ad2-7bfb-4c91-ae66-ea908d87cc33,20039.0,BLDG_0003000e00234d93
UUID_e368326c-5f58-41f2-b152-054fab84fdcb,20039.0,BLDG_0003000f0016e4c2
UUID_b05a44d9-5360-454f-a37a-08b36e0ead30,20039.0,BLDG_0003000f000b78dc
DEB_LOD2_UUID_44fcbbdf-cc05-4e8a-aa1b-22f0adb452d9_f137b296-8951-463a-8ccb-3dc09d4dc5c1,20039.0,DEB_LOD2_UUID_44fcbbdf-cc05-4e8a-aa1b-22f0adb452d9
