id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
"0","0","0","0","0",0.00000000000000,354.77396226242382
"0","1","0","0","1",0.00804664892990,82.58201170761490
"0","2","0","0","2",0.01809740370057,121.98362340621367
"0","3","0","0","3",0.02114037152770,162.00819345526060
"0","4","0","0","4",0.02521377703160,164.83590463565662
"0","5","0","0","5",0.02638537091292,160.57203113982379
"0","6","0","0","6",0.02777491679871,163.37191723452241
"0","7","0","0","7",0.02915568788653,168.59164762602580
"0","8","0","0","8",0.03015276302625,211.73239959741167
"0","9","0","0","9",0.03166259391120,270.79316457121280
"0","10","0","0","10",0.03458500079208,275.37268360049137
"0","11","0","0","11",0.03677215658611,267.48806084564433
"0","12","0","0","12",0.03823660058395,270.15646382372944
"0","13","0","0","13",0.04150080200226,280.20480428019528
"0","14","0","0","14",0.04468263658201,280.98829805861578
"0","15","0","0","15",0.04735657702233,279.43870714277017
"0","16","0","0","16",0.04899846334717,296.17733894653543
"0","17","0","0","17",0.05008963702305,328.05293938151181
"0","18","0","0","18",0.05513151761306,355.34811121730468
"0","19","0","0","19",0.05675693542653,47.00910238806072
"0","20","0","0","20",0.05675693542653,178.00004024478494
"0","21","0","0","21",0.05775027287445,354.77396226242382
