ID;Type;Year;Effective Area;Factor Volume;Factor Rooftop;Factor OuterWall;Factor Ground;Factor Window
0;SFH;0 1859;199;3,125;0,613;0,775;0,390;0,132
1;SFH;1860 1918;129;3,125;0,585;1,366;0,321;0,157
2;SFH;1919 1948;275;3,125;0,706;0,777;0,478;0,173
3;SFH;1949 1957;101;3,125;1,130;1,061;0,559;0,166
4;SFH;1958 1968;110;3,125;1,140;1,239;0,957;0,224
5;SFH;1969 1978;158;3,125;1,058;1,027;0,453;0,198
6;SFH;1979 1983;196;3,125;0,467;0,738;0,386;0,125
7;SFH;1984 1994;137;3,125;0,821;1,409;0,502;0,198
8;SFH;1995 2001;111;3,125;0,947;1,038;0,691;0,266
9;SFH;2002 2009 ;133;3,125;0,584;1,285;0,543;0,193
10;SFH;2010 2015;160;3,125;0,705;1,217;0,576;0,225
11;SFH;2016 2100;160;3,125;0,705;1,217;0,576;0,225
12;TH;1860 1918;87;3,125;0,625;0,777;0,625;0,189
13;TH;1919 1948;103;3,125;0,446;0,567;0,446;0,190
14;TH;1949 1957;136;3,125;0,541;0,898;0,541;0,311
15;TH;1958 1968;107;3,125;0,395;0,345;0,395;0,115
16;TH;1969 1978;97;3,125;0,575;0,507;0,575;0,221
17;TH;1979 1983;98;3,125;0,904;0,501;0,676;0,188
18;TH;1984 1994;116;3,125;0,507;0,398;0,438;0,147
19;TH;1995 2001;135;3,125;0,519;0,397;0,348;0,150
20;TH;2002 2009 ;138;3,125;0,601;0,926;0,465;0,239
21;TH;2010 2015;168;3,125;0,386;1,056;0,346;0,143
22;TH;2016 2100;168;3,125;0,386;1,056;0,346;0,143
23;MFH;0 1859;616;3,125;0,420;1,107;0,184;0,158
24;MFH;1860 1918;284;3,125;0,329;0,468;0,329;0,173
25;MFH;1919 1948;350;3,125;0,493;0,845;0,331;0,185
26;MFH;1949 1957;575;3,125;0,562;0,731;0,562;0,156
27;MFH;1958 1968;2845;3,125;0,310;0,652;0,310;0,162
28;MFH;1969 1978;426;3,125;0,462;0,716;0,462;0,173
29;MFH;1979 1983;595;3,125;0,380;0,684;0,380;0,152
30;MFH;1984 1994;707;3,125;0,321;0,996;0,321;0,207
31;MFH;1995 2001;759;3,125;0,340;0,833;0,340;0,195
32;MFH;2002 2009 ;1991;3,125;0,268;0,775;0,283;0,141
33;MFH;2010 2015;1170;3,125;0,246;0,914;0,246;0,187
34;MFH;2016 2100;1170;3,125;0,246;0,914;0,246;0,187
35;AB;1860 1918;754;3,125;0,280;0,368;0,197;0,164
36;AB;1919 1948;1349;3,125;0,259;0,838;0,267;0,188
37;AB;1949 1957;1457;3,125;0,221;0,858;0,221;0,184
38;AB;1958 1968;3534;3,125;0,123;0,836;0,118;0,177
39;AB;1969 1978;3020;3,125;0,163;0,641;0,163;0,164
